Unnamed: 0.1,Title,Time,View,Date,Like,Dislike,Comment
164,Oppo Find X2 Pro: One-Upping the Champ?,8.833333333333334,2975181,2020-03-06,87000,3800,5394
165,Samsung Galaxy S20 Ultra Review: Attack of the Numbers!,18.316666666666666,6568780,2020-03-03,138000,4000,11697
166,Xiaomi Mi Mix Alpha Impressions: The Wraparound Display!,11.05,12912795,2020-02-28,343000,11000,22482
167,The 2020 Mac Pro: A Silent Killer!,11.066666666666666,3521225,2020-02-26,109000,3900,7651
168,MKBHD Studio 2020 Build: Part 1!,9.25,2180268,2020-02-24,98000,1100,6135
169,Galaxy Z Flip vs Moto RAZR 2020: 10 Differences!,11.0,2799184,2020-02-22,63000,1800,3836
170,Samsung Galaxy Z Flip Unboxing: It's Growing on Me!,6.866666666666667,3944885,2020-02-20,100000,2500,5670
171,Talking Tech and 2020 with Bill Gates!,12.05,3450689,2020-02-15,147000,3900,8528
172,Samsung Galaxy Z Flip Impressions: Mixed Feelings!,7.5,5868907,2020-02-12,169000,4600,10874
173,Samsung Galaxy S20 Ultra Impressions: 108 Megapixels!,7.816666666666666,7380188,2020-02-12,173000,6300,15590
174,"Galaxy S20 Impressions: New Year, New Samsung!",9.733333333333333,5872516,2020-02-12,152000,2900,10208
175,Foldable Moto RAZR Unboxing & Second Thoughts!,7.25,2416951,2020-02-10,76000,1900,6256
176,Are we at Peak Smartphone?,7.666666666666667,2530874,2020-02-01,96000,4600,7738
177,YouTube Diamond Play Button Review!,5.233333333333333,5103779,2020-01-26,209000,3600,9025
178,Why Everyone is Copying AirPods: Explained!,8.333333333333334,5831224,2020-01-16,184000,4800,11607
179,The MKBHD Setup Tour 2020!,11.866666666666667,3802966,2020-01-14,121000,2200,7056
180,Dope Tech of CES 2020: Sony Made a Car?!,9.783333333333333,2155293,2020-01-09,74000,1300,3572
181,OnePlus Concept One Phone: Disappearing Cameras?,4.85,2540956,2020-01-08,84000,1600,3512
182,Most Overrated Tech? 8K Ask MKBHD 2020!,12.733333333333333,2137331,2020-01-06,96000,1500,4964
183,The Banned Huawei Mate 30 Pro: Best Phone You Shouldn't Buy!,9.483333333333333,3845542,2020-01-03,97000,3700,7023
184,2020 Tech I'm Ready For!,11.3,2817664,2019-12-31,102000,2600,5554
185,The Most Expensive iPhone in the World!,9.883333333333333,3604165,2019-12-27,140000,4700,11506
186,Smartphone Awards 2019!,25.25,6702396,2019-12-24,220000,7600,23747
187,Would a Walkman work in space?,3.066666666666667,244259,2019-12-24,7700,1500,713
188,Dope Tech: The World's Largest 8K OLED!,10.483333333333333,3393228,2019-12-22,97000,3300,4205
189,"10,000,000!",2.7666666666666666,2790753,2019-12-18,305000,1200,20808
